Date,Text
2020-02-13 23:57:53+00:00,"Agility Logistics have established a dedicated website regarding updates around the Novel Coronavirus (COVID – 19) that will be updated regularly as situations around freight, logistics and shipping evolve – this website can be accessed here : https://www.agility.com/en/pages/coronavirus-operational-update/"
2020-02-13 23:57:14+00:00,COVID-19: WHO renames deadly coronavirus @AJENews
2020-02-13 23:56:57+00:00,#covid-19 #coronavirus Could turn out to be a positive development. Chinese authorities asking recovered patients to donate plasma. 
2020-02-13 23:55:50+00:00,Stocks fall as virus concerns spread - https://dailytradersreport.com.au/stocks-fall-as-virus-concerns-spread/ #covid-19 #coronavirus #China $Dow $SPY $SPX $NDQ $CSCO $WMT $AXP $NTAP $TSLA $ROKU $MAT $EXPE
2020-02-13 23:55:29+00:00,The rest of the world needs to start taking this much more seriously. I doubt Japan will be able to host the Olympics this year. #coronavirus #COVID_19 #Japan
2020-02-13 23:55:16+00:00,"COVID-19 Spread; Implications for Travel Retail. http://ow.ly/FAy050ym3gI #travelretail, #airportshopping, #dutyfree, #chinesetraveller,#COVID-19, #Coronavirus. "
2020-02-13 23:55:12+00:00,COVID-19–Hello all -Isn’t it a good idea to stop visiting places that serves bats and Snakes till there is a clear picture about Coronavirus?
2020-02-13 23:54:11+00:00,#Coronavirus up to date stats. Dashboard Coronavirus COVID-19 (Mobile) https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/85320e2ea5424dfaaa75ae62e5c06e61
2020-02-13 23:53:55+00:00,"An outbreak of a novel coronavirus (COVID-19) stemming from China has infected thousands of people, including some in the U.S. The Aggie Health and Wellness Center has taken steps to address the questions and fear surrounding the virus. #coronavirus "
2020-02-13 23:51:47+00:00,"* Hubei Reports 116 Coronavirus Deaths for Feb.13 Under New Method ... 4,823 additional confirmed cases for Feb 13 - Bloomberg #ausbiz #COVID_19"
2020-02-13 23:51:01+00:00,COVID-19 CORONAVIRUS OUTBREAK https://www.worldometers.info/coronavirus/
2020-02-13 23:49:18+00:00,From @GallatinHealth: Gallatin City-County Health Department (GCCHD) continues to monitor individuals with recent travel to mainland China. Gallatin County has zero confirmed cases of novel coronavirus (COVID-19). #gallatincountymt
2020-02-13 23:49:00+00:00,FRIDAY UPDATE: Coronavirus (COVID-19) Health Advice Find the latest health information from the Australian Government regarding coronavirus. Learn more at: https://www.health.gov.au/news/health-alerts/novel-coronavirus-2019-ncov-health-alert?fbclid=IwAR0G5qZOQuAq0nQ6x-XDaiUHuC4d5jzAK4_9h3dpFIpj2DyXPoxP5NqbNL4 #CoronavirusAustralia
