Date,Text
2020-02-27 23:59:58+00:00,The Federal Ministry of Health has confirmed a coronavirus(Covid-19) case in Lagos State Nigeria. The case which was confirmed on 27/02/2020 is the first case to be reported in Nigeria since the beginning of the outbreak in China in January 2020 @WHO @BBCWorld #CoronaVirusUpdates
2020-02-27 23:59:57+00:00,"What a smart thinking! While other countries such as Italy, Switzerland, Austria and 40+ other countries with cases of Covid-19 (yeah, that’s other name for Corona Virus if you don’t know) can freely enter to Australia. I’m speechless..."
2020-02-27 23:59:20+00:00,I enrolled in the #OpenWHO course Infection Prevention and Control (IPC) for Novel Coronavirus (COVID-19) 
2020-02-27 23:59:11+00:00,Updated definitions: Coronavirus Disease 2019 (COVID-19) https://www.cdc.gov/coronavirus/2019-ncov/hcp/clinical-criteria.html via @@CDCgov
2020-02-27 23:59:09+00:00,"California Governor Says State 'Monitoring' 8,400 For Coronavirus; 33 Have Tested Positive; In New York, 700 Asked To 'Self-Isolate' https://www.zerohedge.com/geopolitical/japans-abe-closes-schools-nationwide-south-korea-confirms-505-new-cases-surpassing #BreakingNews #Coronavirus #CoronavirusOutbreak #COVID19 #COVID #COVID_19 #Collapse #USA #California"
2020-02-27 23:59:03+00:00,Saudi Arabia suspends entry for pilgrims over #coronavirus https://news.yahoo.com/saudi-arabia-suspends-entry-pilgrims-over-coronavirus-010910478.html?soc_src=community&amp;soc_trk=tw via @Yahoo #COVID19 #ksa #Covid_19
2020-02-27 23:58:41+00:00,Coronavirus: Final stages of Tour of UAE cancelled as two Italian team workers test positive for COVID-19 ⁦@roadcc⁩
2020-02-27 23:58:14+00:00,There’s like 7 strains under the term “coronavirus”. Only one is the COVID-19
2020-02-27 23:57:11+00:00,Basic protective measures against the new coronavirus (COVID-19) STAY HEALTHY GOD BLESS YOU. 
2020-02-27 23:57:09+00:00,What we actually know about COVID-19 Coronavirus is limited. Please use traditional sanitary precautions + check ⁦@CDCgov⁩ for updates
2020-02-27 23:57:04+00:00,CG Public Health is advising residents about what they can do now to prepare for the potential spread of the novel coronavirus known as COVID-19. 
2020-02-27 23:57:03+00:00,"Coronavirus latest: California monitoring 8,400 people for Covid-19 | Financial Times "
2020-02-27 23:56:57+00:00,Coronavirus disease 2019 (COVID-19) @WHO Situation Report – 38 https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200227-sitrep-38-covid-19.pdf?sfvrsn=47fdaf7_2 #COVID19
2020-02-27 23:56:53+00:00,"Here’s what you should know about the #Coronavirus 2019, COVID-19, from ⁦@CDCgov⁩. #TwitterNewsChat https://www.cdc.gov/coronavirus/2019-ncov/index.html"
2020-02-27 23:56:43+00:00,"The corona virus that causes COVID-19 seems to spread like influenza, through the air, person to person. Here's everything coming that you need to know about the corona virus outbreak. #corona #virus #contagious… https://www.instagram.com/p/B9Fu0uThGOZ/?igshid=1sjmm81cifrzg"
2020-02-27 23:56:39+00:00,Metal Silver News→ SHOCKER: CoVid-19 #Coronavirus Did Not Originate In The #Wuhan #Seafood Market: A state-run Chinese media outlet has…
2020-02-27 23:56:25+00:00,"8,400 Californians are being monitored for COVID-19 as state braces for coronavirus "
2020-02-27 23:56:03+00:00,"As the current outbreak of the Coronavirus Disease (COVID-19) continues to develop, the World Health Organization (WHO) and the World Tourism Organization (UNWTO) are committed to working together in guiding the travel and tourism sectors’ response... http://bit.ly/3960XiN"
2020-02-27 23:56:00+00:00,"Coronavirus Age, Sex, Demographics (COVID-19) - Worldometer https://www.worldometers.info/coronavirus/coronavirus-age-sex-demographics/"
2020-02-27 23:55:37+00:00,Coronavirus: Japan confirms first case of person being reinfected with COVID-19 http://news.sky.com/story/coronavirus-japan-confirms-first-case-of-person-being-reinfected-with-covid-19-11944295
