Date,Text
2020-02-20 23:59:05+00:00,Coronavirus: the new disease Covid-19 explained @SCMPgraphics http://bit.ly/2RgB7Ce #COVID19 #coronavirus #wuhanvirus
2020-02-20 23:58:44+00:00,"Coronavirus-infected Americans flown home against CDC’s advice -Experts estimate that without protective measures, every infected person will spread it to an average of slightly more than two additional people. covid-19,has been fatal in roughly (~CFR)=2% "
2020-02-20 23:58:41+00:00,"2 Aussies from Diamond Princess coronavirus cruise have tested positive to COVID-19. They've been isolated from the others in Darwin quarantine. Chief Medical Officer assures other passengers ""all measures were taken to ensure their protection"" on flight https://10daily.com.au/news/australia/a200220bxzet/two-evacuated-australians-from-diamond-princess-reportedly-test-positive-for-coronavirus-20200220"
2020-02-20 23:58:37+00:00,CONFIRMED: CoVid-19 coronavirus found to contain unique “gain-of-function” property “for efficient spreading in the human population” … exact quote from science paper just published in Antiviral Research – http://NaturalNews.com
2020-02-20 23:58:25+00:00,"Answers to Travelers’ Questions about the #Coronavirus With COVID-19 disease upending plans and commerce globally, expert advice on how to think about #traveling now. @NYTimes"
2020-02-20 23:57:41+00:00,#BreakingNews Two Australians have tested positive for COVID-19 in Darwin. Six people who had symptoms yesterday were separated from the other 158 people who also arrived after spending two weeks in quarantine on a cruise ship in Japan. #Coronavirus #Darwin #WorldNews
2020-02-20 23:57:22+00:00,There must be something more to the coronavirus given the panic. The hospitalised death rate (which would equate with severe disease) from the 2019/2020 seasonal flu in the US alone is 5.7% (though the CDC says it’s 7.1%) From covid-19 death rate 2.2% Stats from 13/02/20 
2020-02-20 23:56:08+00:00,“Malaysia is amazing!” This was one of about a thousand responses from Japanese netizens to a tweet praising Malaysia’s guidelines to its people in the wake of the Covid-19 coronavirus disease outbreak in China.
2020-02-20 23:54:49+00:00,NEW: Provincial health officer Dr. Bonnie Henry and @adriandix are giving a COVID-19 update at 5:30pm this afternoon. @cbcnewsbc @CBCAlerts #coronavirus
2020-02-20 23:54:28+00:00,COVID-19 and Travel: Answers to Travelers' Questions SEE DETAILS AT ==&gt; http://allexpressnews.com/virus.html #virus #coronavirus #sars #flu #china #trump https://youtu.be/cUdRkfhAa64
