Date,Text
2020-03-31 23:59:55+00:00,@scfirefighters launch COVID-19 firefighter resource page http://bit.ly/COVID19FFResources in the latest #FireWire #SCSFA #ServingSCFirefightersSince1905 #firefighters #COVID19 #coronavirus #scnews #sctweets
2020-03-31 23:59:53+00:00,My best friend likely had it in Jan before anyone knew what it was. Coronavirus fact check: Could your December cough have been COVID-19? 
2020-03-31 23:59:51+00:00,Breaking: Governor of Maine has just ordered all residents of the state of Maine to stay at home at all times unless for an essential job or essential personal reason. Due to coronavirus covid-19
2020-03-31 23:59:49+00:00,Coronavirus (COVID-19) Symptom Tracker If you’re concerned about have #Covid-19 have a look at this
2020-03-31 23:59:43+00:00,"covid-19 drive-through clinic Currently, Korea does coronavirus checkups like this. "
2020-03-31 23:59:43+00:00,"Now Playing on 234Radio, Dolly parton - Heartbreaker. Together, we can defeat coronavirus disease (COVID-19) #LetsFightCovid19 #CovidNGR"
2020-03-31 23:59:42+00:00,"This a good look? #coronavirus #covıd19 #covid_19 #facemask #socialdistancing #stayinplace #quarantine @Sacramento, California https://www.instagram.com/p/B-atZlwDUTS/?igshid=oo08bz8cg7vh"
2020-03-31 23:59:41+00:00,"...CoronaVirus (Covid-19) comes from no where &amp; everywhere people begin to fight for survival. Some die in the process of trying to survive. Now, i wonder deep in thoughts where this little child will find solace from in a country where her rulers (leaders) don't have or..."
2020-03-31 23:59:31+00:00,"University of Texas, 70 UT students returned on a chartered plane back to Austin after partying in Cabo San Lucas: 28 Spring Breakers Test Positive For COVID-19 Coronavirus After Mexico Vacation. (To be honest have mixed feelings from anger to sadness but prayers sent) "
2020-03-31 23:59:28+00:00,Coronavirus UK: Premier League clubs concerned about resuming European competitions amid Covid-19 https://www.dailymail.co.uk/sport/article-8173603/Coronavirus-UK-Premier-League-clubs-concerned-resuming-European-competitions-amid-Covid-19.html?ns_mchannel=rss&amp;ito=1490&amp;ns_campaign=1490
2020-03-31 23:59:15+00:00,Still no fever!!! Thank you God!! 3 days to go. #TuesdayMotivation #StayAtHome #StayHealthyEveryone #coronavirus #COVID #Covid_19 #COVIDIOT
2020-03-31 23:59:09+00:00,"#amritcollege #smtamritkunwarmahavidyalaya Given the (COVID-19) epidemic, In compliance with 27 March 2020, the examinations are postponed till 14 April 2020 to prevent the spread of the coronavirus (COVID-19). Link: https://www.facebook.com/pg/AmritCollege/posts/?ref=page_internal"
2020-03-31 23:59:07+00:00,"Italy sees about the same daily cases as yesterday, 4,053 (vs. 4,050). With +837 more deaths, they are still dealing with the surge in cases from weeks prior, but they seem to be leveling the curve. #coronavirus #COVID19 #Covid_19 #CoronaUpdate #Covid_19 #ItalyCoronavirus"
