Date,Text
2020-04-21 23:59:57+00:00,"Ohio man, 60, who blasted COVID-19 lockdown as 'a political ploy' and said stay-at-home orders were 'bullshit dies after contracting coronavirus"
2020-04-21 23:59:49+00:00,Whitmer backtracks after COVID-19 contract awarded to Dem consultant who said Trump should 'get coronavirus ASAP' 
2020-04-21 23:59:47+00:00,"""Russia’s response to the coronavirus has not been perfect. But, so far, the country has been significantly less affected than Britain or America, and this appears to have deeply upset the US/UK media. Here are the Covid-19 stats, as of Tuesday morning"": "
2020-04-21 23:59:44+00:00,DAVID ICKE - THE TRUTH BEHIND THE CORONAVIRUS PANDEMIC: COVID-19 LOCKDOW... https://youtu.be/gMTZu6_TjU8 via @YouTube Enough is enough
2020-04-21 23:59:38+00:00,Whitmer backtracks after COVID-19 contract awarded to Dem consultant who said Trump should 'get coronavirus ASAP' https://www.foxnews.com/politics/gov-whitmer-awards-contact-tracing-contract-to-dem-consultant-who-said-trump-should-get-coronavirus-asap
2020-04-21 23:59:34+00:00,4 stages of COVID_19 Isolation. #COVID_19 #coronavirus #isolation #FlattenTheCurve #satire #catrtoon #humour #dontpanic
2020-04-21 23:59:32+00:00,Whitmer backtracks after COVID-19 contract awarded to Dem consultant who said Trump should 'get coronavirus ASAP' https://www.foxnews.com/politics/gov-whitmer-awards-contact-tracing-contract-to-dem-consultant-who-said-trump-should-get-coronavirus-asap
2020-04-21 23:59:32+00:00,Online Trading Platform Market with Coronavirus (Covid-19) Impact Analysis | Industry Business ... http://dlvr.it/RVCLXt
2020-04-21 23:59:29+00:00,Whitmer backtracks after COVID-19 contract awarded to Dem consultant who said Trump should 'get coronavirus ASAP' https://ift.tt/2Kq1QrK #FoxNews #CNN #MSNBC
2020-04-21 23:59:26+00:00,hydroxychloroquine with Z-Pak to treat coronavirus is not a treatment for COVID 19 @POTUS YOU ARE KILLING PEOPLE STUPID BASTARD
2020-04-21 23:59:25+00:00,Whitmer backtracks after COVID-19 contract awarded to Dem consultant who said Trump should 'get coronavirus ASAP' https://www.foxnews.com/politics/gov-whitmer-awards-contact-tracing-contract-to-dem-consultant-who-said-trump-should-get-coronavirus-asap LIBERATE MICHIGAN!!!
2020-04-21 23:59:25+00:00,Six months ago romaine lettuce was a fear in Canada Perspective is everything with COVID-19 today #coronavirus #romainelettuce #RealityCheck #perspective
2020-04-21 23:59:12+00:00,Whitmer backtracks after COVID-19 contract awarded to Dem consultant who said Trump should 'get coronavirus ASAP' https://www.foxnews.com/politics/gov-whitmer-awards-contact-tracing-contract-to-dem-consultant-who-said-trump-should-get-coronavirus-asap
2020-04-21 23:59:06+00:00,"Where are refunds for Carnival cruises cancelled due to COVID-19? According to Carnival, ""We are committed to issuing refunds as soon as possible, but I cannot give you an approximate date at this time.” @WKRG #COVID19 #coronavirus "
2020-04-21 23:59:04+00:00,Whitmer backtracks after COVID-19 contract awarded to Dem consultant who said Trump should 'get coronavirus ASAP' https://fxn.ws/2VHTyAE #FoxNews
2020-04-21 23:58:44+00:00,Whitmer backtracks after COVID-19 contract awarded to Dem consultant who said Trump should 'get coronavirus ASAP' | Fox News. #Whitmer https://www.foxnews.com/politics/gov-whitmer-awards-contact-tracing-contract-to-dem-consultant-who-said-trump-should-get-coronavirus-asap
2020-04-21 23:58:41+00:00,NDA PRODUCES VENTILATORS TO CURB #CORONAVIRUS #Covid_19 #StayHome Read more: http://bit.ly/2z7hhm5
2020-04-21 23:58:25+00:00,"Using COVID-19 to advertise flu vaccination?? ""accelerate death""? Any proof? Various studies show no correlation between death rates and flu vaccines. One study actually shows a higher infection of generic coronavirus after flu vaccination! @PeterDaszak """
2020-04-21 23:58:20+00:00,"Pretty scary - Keep Your Distance!Statistics are piling up and giving some answers to those flu & swine comparisons. Regarding Covid-19: On March 20, the death toll in the United States was 225. By April 20, the coronavirus had killed more than 42,000 Americans #SocialDistance"
2020-04-21 23:58:19+00:00,Another corrupt Dem ⁦@GovWhitmer⁩ backtracks after COVID-19 contract awarded to Dem consultant who said Trump should 'get coronavirus ASAP' | Fox News https://www.foxnews.com/politics/gov-whitmer-awards-contact-tracing-contract-to-dem-consultant-who-said-trump-should-get-coronavirus-asap
2020-04-21 23:58:17+00:00,Whitmer backtracks after COVID-19 contract awarded to Dem consultant who said Trump should 'get coronavirus ASAP' https://fxn.ws/2VHTyAE #FoxNews
2020-04-21 23:58:11+00:00,"To restart small businesses. Give access to the owner for an antibody test and a covid 19 test. Test each worker for antibodies and/or the corona virus. If the workers have the antibodies, then they can come back to work with a mask and gloves."
2020-04-21 23:58:07+00:00,"Health experts are recommending improved COVID-19 testing, tracing, and isolation in order to slow the spread of the coronavirus. Gathering data to predict futures is part of minimizing risk and uncertainty - a common business practice. "
2020-04-21 23:58:07+00:00,"Whitmer backtracks after COVID-19 contract awarded to Dem consultant who said Trump should 'get coronavirus ASAP' https://www.foxnews.com/politics/gov-whitmer-awards-contact-tracing-contract-to-dem-consultant-who-said-trump-should-get-coronavirus-asap A further example of Whitmer’s failed leadership. She is not qualified to be running a large Midwestern State, and it is showing every day."
2020-04-21 23:57:58+00:00,Larroulet no cede.. .. #COVID2019 #Covid_19 #QuedateEnCasa #URGENTE #CoronavirusChile #coronavirus #ULTIMAHORA #cuarentena #Chillan #MuchoGusto
2020-04-21 23:57:55+00:00,"Coronavirus government response: Trump says he'll order 60-day immigration 'pause' on those seeking green cards, continues to defend protests against stay-at-home orders, touts new campaign-style slogan to ‘Open America up Again’ as COVID-19 cases climb "
2020-04-21 23:57:45+00:00,Whitmer backtracks after COVID-19 contract awarded to Dem consultant who said Trump should 'get coronavirus ASAP' https://www.foxnews.com/politics/gov-whitmer-awards-contact-tracing-contract-to-dem-consultant-who-said-trump-should-get-coronavirus-asap NO TEST !!! NO VACCINE!!! ⁩ NO CONFIDENCE!!! .⁦@GovWhitmer⁩
2020-04-21 23:57:42+00:00,Michigan Governor @GovWhitmer funnels coronavirus aid $$to her Democrat pals. Whitmer backtracks after COVID-19 contract awarded to Dem consultant who said Trump should 'get coronavirus ASAP' https://www.foxnews.com/politics/gov-whitmer-awards-contact-tracing-contract-to-dem-consultant-who-said-trump-should-get-coronavirus-asap
2020-04-21 23:57:30+00:00,[21 April] (Worldwide) Coronavirus disease (COVID-19) cumulative deaths timeline #CoronaVirusUpdate #CoronavirusDiseasePandemic #COVID19 Click the link for timeline video: https://youtu.be/_q00lxxtrTA
2020-04-21 23:57:22+00:00,"When Trumpsters say ""remember Benghazi"", we can now say ""remember Covid 19""! Benghazi - 4 great Americans died Covid19 - 42,000 + great Americans died. Trump say's he is doing a great job! Rebublicans who voted for Trump are just as responsible. #coronavirus #TrumpIsALoser"
2020-04-21 23:57:19+00:00,COVID-19: Talking about coronavirus in English – vocabulary &amp; expressions https://youtu.be/xQIhmohkV74 via @YouTube
2020-04-21 23:57:16+00:00,"Our Worst Nightmare If we don’t get back to work, poverty from an economic collapse due to the coronavirus will kill more people than COVID-19 ever will. Hey, if it saves but one life, Right?. Political cartoon by A.F. Branco ©2020. https://comicallyincorrect.com/a-f-branco-cartoon-our-worst-nightmare/ via @afbranco"
2020-04-21 23:57:06+00:00,Whitmer backtracks after COVID-19 contract awarded to Dem consultant who said Trump should 'get coronavirus ASAP' https://www.foxnews.com/politics/gov-whitmer-awards-contact-tracing-contract-to-dem-consultant-who-said-trump-should-get-coronavirus-asap
2020-04-21 23:57:06+00:00,Here is a rather comprehensive list: Free Online Learning Resources For Schools Affected by Coronavirus/COVID-19 https://www.techlearning.com/resources/free-online-learning-resources-for-schools-affected-by-coronaviruscovid-19 #lfh #ccboeintech #freeresources #teacherresources #learnfromhome
2020-04-21 23:56:49+00:00,COVID-19 protesters will eventually learn the tragic consequences of their irresponsible behavior! Coronavirus does not care about freedom or political affiliation! 
2020-04-21 23:56:48+00:00,"Whitmer backtracks after COVID-19 contract awarded to Dem consultant who said Trump should 'get coronavirus ASAP' https://www.foxnews.com/politics/gov-whitmer-awards-contact-tracing-contract-to-dem-consultant-who-said-trump-should-get-coronavirus-asap Typical Democrats, they will do anything to achieve their sick socialist progressive society!! This Whitmer hag should be replaced!"
2020-04-21 23:56:48+00:00,May Allah bless & grant early recovery to Mr Faisal Edhi who had positive test of COVID 19. Dr Faisal's advise to Imran khan PM Pakistan to get tested for Corona virus is timely because both had a brief meeting few days ago. InshaAllah nothing shall happen to our beloved PM IK 
2020-04-21 23:56:47+00:00,$NNVC to reveal an update of its drug development programs for the treatment of Shingles and for COVID-19 #NanoViricides #Coronavirus #COVID19 #Shingles http://crweworld.com/symbol/NNVC
2020-04-21 23:56:43+00:00,"Pretty scary - Keep Your Distance!Statistics are piling up and giving some answers to those flu & swine comparisons. Regarding Covid-19: On March 20, the death toll in the United States was 225. By April 20, the coronavirus had killed more than 42,000 Americans #SocialDistance"
2020-04-21 23:56:35+00:00,Whitmer backtracks after COVID-19 contract awarded to Dem consultant who said Trump should 'get coronavirus ASAP' https://www.foxnews.com/politics/gov-whitmer-awards-contact-tracing-contract-to-dem-consultant-who-said-trump-should-get-coronavirus-asap
2020-04-21 23:56:33+00:00,"All eyes are on the governors during the COVID-19 pandemic in the U.S. Focusing on #Florida, here's how Gov. Ron DeSantis compares to other governors in his response to the coronavirus. "
2020-04-21 23:56:32+00:00,Only God can judge Tory Lanez #melody #hiphop #rnb #pop #love #rap #dubstep #instagood #beat #beats #jam #freestyle #party #partymusic #covid_19 #mixtapes #remix #favoritesong #coronavirus #photooftheday #2pac #t9e… https://www.instagram.com/p/B_Qxn4iHPbV/?igshid=nz3ojzsp3aiv
2020-04-21 23:56:28+00:00,Whitmer backtracks after COVID-19 contract awarded to Dem consultant who said Trump should 'get coronavirus ASAP///Well--Watcha going to do about it
2020-04-21 23:56:26+00:00,"Could be several reasons and no good in whatever combination... ""At least 28,000 more people have died during the coronavirus pandemic over the last month than the official Covid-19 death counts report, a review of mortality data in 11 countries shows."" "
2020-04-21 23:56:22+00:00,"Maybe one day we'll find out someone really did create Covid-19 (or manipulate a coronavirus to infect humans) &amp; intentionally release it. Logical questioning is good, IMO. Saying something counts as proof, when the opposite is the case, just gets in the way."
2020-04-21 23:56:17+00:00,FRONTLINE's First Major Documentary on COVID-19 Premieres Tonight | Coronavirus Pandemic | FRONTLINE | PBS | Official Site 
2020-04-21 23:55:46+00:00,What Virginia's COVID-19 numbers say: How we're flattening the coronavirus curve https://www.newsleader.com/story/news/local/2020/04/21/coronavirus-evidence-flattening-virginia-cases-hospitalizations-deaths-hospitals-icu-ventilators/2995572001/ via @newsleadernow
2020-04-21 23:55:27+00:00,Whitmer backtracks after COVID-19 contract awarded to Dem consultant who said Trump should 'get coronavirus ASAP' https://www.foxnews.com/politics/gov-whitmer-awards-contact-tracing-contract-to-dem-consultant-who-said-trump-should-get-coronavirus-asap Explore the Fox News apps that are right for you at http://www.foxnews.com/apps-products/index.html.
2020-04-21 23:55:23+00:00,#IndiaUnitedAgainstCorona Coronavirus survives for a varied time and can be inactivated by chemical disinfectants. Indian Cities have been making significant efforts in sanitizing the cities to contain the local spread of COVID-19.
2020-04-21 23:55:18+00:00,3 Ways Covid-19 Has Pushed Brands to Reevaluate Social Strategies | via ⁦@Adweek⁩ #coronavirus #brands #socialmediamarketing #socialmediastrategy
